0,1,2,3,4
Acampo Armijo,Zaragoza,Zaragoza,RWE Innogy Aersa. S.A.U.,18.00
Boquerón I,Zaragoza,Borja,CEASA,21.78
Borja II (Arbolitas),Zaragoza,Borja,CEASA,21.51
Bosque Alto,Zaragoza,María de Huerva,RWE Innogy Aersa. S.A.U.,21.75
Campo de Borja,Zaragoza,Borja,C.E. CAMPO DE BORJA S.A.,1.98
El Águila,Zaragoza,Pedrola,DESARROLLOS EÓLICOS EL ÁGUILA,19.50
Escucha (Unificado San Just),Teruel,Escucha,EXPLOTACIONES EÓLICAS DE ESCUCHA,19.14
La Ciesma de Grisel (1º fase),Zaragoza,Grisel,RWE Innogy Aersa. S.A.U.,13.50
Los Labrados,Zaragoza,Zaragoza. Cadrete y María de Huerva,RWE Innogy Aersa. S.A.U.,24.00
Plana de la Balsa,Zaragoza,Cadrete y María de Huerva,RWE Innogy Aersa. S.A.U.,24.00
Sos del Rey Católico,Zaragoza,Sos del Rey Católico,ACCIONA ENERGÍA,18.70
Tardienta I,Huesca,Tardienta,IBERDROLA RENOVABLES,49.50
Tardienta II,Huesca,Tardienta y Torralba,SIST. ENERG. TORRALBA. S.A.,44.20
Atalaya I,Zaragoza,Pedrola y Luceni,MOLINOS DEL EBRO. S.A.,25.50
Boquerón II (Ampliación),Zaragoza,Borja,CEASA,14.52
El Puerto (Unificado),Teruel,Cuevas de Almudén,EXPLOTACIONES EÓLICAS EL PUERTO,25.08
La Carracha,Zaragoza,La Muela,PARQUE EÓLICO LA CARRACHA. S.L.,49.50
La Plana I+D,Zaragoza,La Muela,SIST. ENERG. LA PLANA,2.00
Plana de Jarreta,Zaragoza,La Muela,PLANA DE JARRETA. S.L.,49.50
Plana de María,Zaragoza,María de Huerva,RWE Innogy Aersa. S.A.U.,24.00
Plana de Zaragoza,Zaragoza,La Muela,RWE Innogy Aersa. S.A.U.,24.00
Sierra de la Virgen,Zaragoza,Sestrica y Calatayud,EXPLOTACIONES EÓLICAS SIERRA DE LA VIRGEN,28.80
Tarazona Sur,Zaragoza,Tarazona,ELECDEY,9.60
Atalaya II,Zaragoza,Pedrola y Luceni,MOLINOS DEL EBRO. S.A.,24.00
Cabezo de San Roque,Zaragoza,Muel,EÓLICA CABEZO DE SAN ROQUE. S.A.,23.25
El Bayo,Zaragoza,Pedrola,MOLINOS DEL EBRO. S.A.,49.50
La Muela Norte,Zaragoza,La Muela,OLIVENTO. S.L.,29.75
Los Monteros,Zaragoza,Pedrola,MOLINOS DEL EBRO. S.A.,25.50
Magallón 26,Zaragoza,Magallón,PROY. EÓLICOS ARAGONESES,10.80
Río Gallego,Huesca,Gurrea de Gállego,RWE Innogy Aersa. S.A.U.,38.70
Boquerón III (Ampliación),Zaragoza,Borja,CEASA,13.20
Entredicho,Zaragoza,Fuendetodos y Azuara,IBERDROLA RENOVABLES,36.00
Fuendetodos I,Zaragoza,Fuendetodos,IBERDROLA RENOVABLES,46.00
Fuendetodos II,Zaragoza,Fuendetodos,IBERDROLA RENOVABLES,47.60
La Plana I+D Ampliación,Zaragoza,La Muela,SIST. ENERG. OPIÑEN,2.00
Molino de Arbolitas,Zaragoza,Borja,MOLINO DE ARBOLITAS. S.L.,1.50
Molino de Carragüeyes,Zaragoza,Borja,Molino de Caragüeyes. S.L.,0.75
San Just (Unificado escucha),Teruel,Escucha,Explotaciones Eólicas de Escucha,9.24
Santa Quiteria,Huesca,Almudévar y Tardienta,PARQUE EÓLICO SANTA QUITERIA. S.L.,36.00
Belchite,Zaragoza,Belchite,PARQUE EÓLICO BELCHITE. S.L.,49.50
La Ciesma de Grisel (2º fase),Zaragoza,Grisel,RWE Innogy Aersa. S.A.U.,3.00
La Sotonera,Huesca,Gurrea de Gallego y Alcalá de Gurrea,PARQUE EÓLICO LA SOTONERA. S.L.,18.90
Los Visos,Zaragoza,Rueda de Jalón,MOLINOS DEL EBRO. S.A.,37.50
Rabosera,Huesca,Sierra de Luna,DESARROLLOS EÓLICOS DE RABOSERA. S.A.,31.35
San Juan de Bargas,Zaragoza,Bureta. Magallón y Alberite de San Juan,SAN JUAN DE BARGAS EÓLICAS. S.L.,44.80
Mallén,Zaragoza,Mallén,VIESGO Renovables,30.00
Santo Cristo de Magallón,Zaragoza,Magallón,GEÓLICA MAGALLÓN II. S.L.,40.00
Sasoplano (Almudévar),Huesca,Almudévar,EXPLOTACIONES EÓLICAS SASO PLANO. S.A.,39.20
Valdeconejos,Teruel,Escucha y Utrillas,OLIVENTO. S.L.,32.30
Almaren,Zaragoza,Sestrica,Explotaciones Eñlkicas Sierra La Virgen. S.A.,11.90
Cantales,Zaragoza,Rueda de Jalón,Parque Eólico Los Cantales. S.L.U.,24.00
Las Gorgas,Zaragoza,Gurrea de Gallego y Alcalá de Gurrea,PARQUE EÓLICO RÍO GALLEGO. S.L.,2.70
Puerto Escandón,Teruel,Puebla de Valverde,MOLINOS DEL JALÓN. S.A.,25.00
Robres,Huesca,Robres,EÓLICA DEL EBRO. S.A.,24.00
Sierra Costera II,Teruel,Cañada Velilla. Cuevas de Almudén. Mexquita de Jarque y Galve,Explotaciones Eólicas Sierra Costera. S.A.,40.80
Sos del Rey Católico II,Zaragoza,Sos del Rey Católico,ACCIONA ENERGÍA,30.00
Virgen de la Peña de Alfajarín,Zaragoza,Sierra de Luna,IBERIA APROVECHAMIENTOS EÓLICOS. S.A.U.,30.00
Acampo Arias I,Zaragoza,Zaragoza,Acampo Arias. S.L.,12.00
Cerro de Atalaya I+D,Zaragoza,Cadrete,LAS NAVARRICAS DE BORDÓN,1.65
La Torrecilla (Fase I),Teruel,Utrillas. Pancrudo y Martín del Río,GAMESA ENERGÍA,16.15
Cabezo Negro I+D,Zaragoza,Jaulín,Sistemas Energéticos Cabezo Negro,4.50
I+D+i Walga,Huesca,Término Municipal:,Fundación para el Desarrollo de las nuevas Tecnologías,0.64
Arza I+D,Zaragoza,Ejea de los Caballeros,Syder,0.23
Sancho Abarca,Zaragoza,Tauste,Aragonesa del Viento. S.A. (ARVISA),10.20
San Cristóbal de Aguilón,Zaragoza,Aguilón,Aguilón 20. S.A.,50.00
Acampo Hospital (EXPO),Zaragoza,Zaragoza,ENEL GREEN POWER ESPAÑA S.L.,6.00
El Espartal,Zaragoza,Zaragoza,Iberaragón,6.00
I+D Jaulín,Zaragoza,Jaulín,GAMESA ENERGÍA,4.50
La Loma,Teruel,Aliaga,NEO ELECTRA MANAGMENT. S.L. (Comiolica. S.L.),36.00
La Torrecilla (Fase II),Teruel,Utrillas. Pancrudo y Martín del Río,GAMESA ENERGÍA,22.10
Parque Eólico I+D El Boyal I,Zaragoza,Borja,GAMESA ENERGÍA,4.50
Parque Eólico I+D El Boyal II,Zaragoza,Borja,GAMESA ENERGÍA,4.50
Parque Eólico I+D El Boyal III,Zaragoza,Mallén,GAMESA ENERGÍA,4.50
Acampo Arias II,Zaragoza,Zaragoza,Acampo Arias. S.L.,18.00
Acampo Arias III,Zaragoza,Zaragoza,Acampo Arias. S.L.,18.00
Boyal III,Zaragoza,Mallén,SISTEMAS ENERGÉTICOS BOYAL. S.L.,2.50
El Llano,Zaragoza,Rueda de Jalón,MOLINOS DEL EBRO. S.A.,49.95
Valiente,Huesca,Gurrea de Gállego,Mediterranean Offshore Wind Energy. S.L.,20.00
Agón,Zaragoza,Agón y Magallón,Carreras Energías Renovables. S.L.,8.93
Allueva,Teruel,Allueva. Fonfría y Adanón,ENEL GREEN POWER ESPAÑA S.L.,25.20
CAMPOLIVA I,Zaragoza,Villamayor de Gállego,Sistemas Energéticos Campoliva. S.A.U.,35.91
CAMPOLIVA II,Zaragoza,Alfajarín y Villamayor de Gállego,Sistemas Energéticos Sierra del Carazo. S.A.,39.38
El Aguila II-Aguila III,Zaragoza,Pedrola,Desarrollos Renovables del Ebro. S.L.,31.95
El Balsón,Huesca,Gurrea de Gállego,Energías Eólicas y Ecológicas 58. S.L.,30.00
EL CAMPO,Zaragoza,Mallén y Fréscano,ENEL GREEN POWER ESPAÑA S.L.,19.80
El Coscojar II,Zaragoza,Plasencia de Jalón yPedrola,Eolicas El Coscojar. S.L.,49.70
El Saso II,Zaragoza,Aguilón y Herrera de los Navarros,Desarrollo Eolico Las Majas IX. S.L,10.00
El Sotillo,Zaragoza,Lumpiaque. Rueda de Jalón y Plasencia de Jalón,Villar Mir Energia SL,14.60
FARLAN,Teruel,Muniesa,Parque Eolico Farlan S.L.,41.40
Fréscano,Zaragoza,Fréscano,Gas Natural Wind 4. S.L.,23.93
LA ESTANCA,Zaragoza,Mallén y Fréscano,BOSA DEL EBRO. SL,24.00
La Nava,Zaragoza,Gallur y Magallón,8 metros por Segundo. S.L.,17.16
La Peña,Zaragoza,Sierra de Luna / Las Pedrosas,EDP Renovables España. S.L.,28.88
La Rinconada,Zaragoza,Herrera de los Navarros. Aguión y Azuara,Sociedad Eólica Corrales de Herrera SLU,30.00
La Sarda,Zaragoza,Sierra de Luna,Eólica Sostenible del Gállego. S.L,30.00
Las Majas II,Zaragoza,Aguilón. Azuara y Fuendetodos,Desarrollo Eólico Las Majas IV. S.L.,33.00
Las Majas III,Zaragoza,Aguilón. Azuara y Fuendetodos,Desarrollo Eólico Las Majas V.S.L.,33.00
Las Majas IV,Zaragoza,Aguilón. Azuara y Fuendetodos,Desarrollo Eólico Las Majas IV. S.L.,30.00
Las Majas V,Zaragoza,Aguilón. Azuara y Fuendetodos,Desarrollo Eólico Las Majas V.S.L.,38.30
LOMA GORDA I,Zaragoza,Fuendetodos,TAUSTE ENERGÍA DISTRIBUIDA. S.L.,23.92
Los Cierzos,Zaragoza,Gallur/Magallón,Energías Eólicas y Ecológicas 53. S.L.,15.00
Monforte I (Fase I),Teruel,Monforte de Moyuela y Loscos,Fuerzas Energéticas del Sur de Europa VII S.L.,19.01
Monlora I (Fase I),Zaragoza,Luna. Sierra de Luna y Castejón de Valdejasa,Generaciones Renovables del Gállego. S.L,15.22
Monlora II,Zaragoza,Luna y Sierra de Luna,Fuerzas Energéticas Sur de Europa IX. S.L,49.50
Monlora III,Zaragoza,Luna. Sierra de Luna y Castejón de Valdejasa,Fuerzas Energéticas del Sur de Europa X. S.L,49.50
Monlora V (Fase I),Zaragoza,Las Pedrosas,Fuerzas Energéticas Sur de Europa IX. S.L,26.25
MUNIESA,Teruel,Muniesa,Parque Eolico Muniesa S.L.,46.80
Pedrola,Zaragoza,Pedrola,Moncayo Forestal. S.L.,20.79
PRIMORAL,Zaragoza,Alfajarín y Villamayor de Gállego,Sistemas Energéticos Alcohujate. S.A,34.65
Rodén,Zaragoza,Fuentes de Ebro,Exolexterm Desarrollos. S.L.,6.00
San Agustín,Teruel,Azaila. Almochuel y Vinaceite,Gas Natural Wind 4. S.L.,34.65
SAN PEDRO ALACON,Teruel,Alacón,ENEL GREEN POWER ESPAÑA S.L.,39.90
Santo Domingo de la Luna,Zaragoza,Luna. Sierra de Luna y Las Pedrosas,Explotaciones Eólicas Santo Domingo de Luna S.A.,29.87
SIERRA COSTERA I,Teruel,Rillo. Cañada Vellida. Fuentes Calientes y Mezquita de Jarque,ENEL GREEN POWER ESPAÑA S.L.,48.90
SIERRA PELARDA,Teruel,Torrecilla de Fonfría y Allueva,ENEL GREEN POWER ESPAÑA S.L.,14.40
Tablares,Zaragoza,Lumpiaque. Rueda de Jalón y Plasencia de Jalón,Villar Mir Energia SL,11.93
Tinajeros,Zaragoza,Agón y Magallón,Saggita Ventum SL,20.63
Ampliación Puerto Escandón,Teruel,La Puebla de Valverde y Formiche Alto,Sociedad promotora:,24.00
Cañacoloma,Zaragoza,Aguilón. Azuara. Fuendetoos y Herrera de los Navarros,CBA Eólica SLU.,20.98
Cañaseca,Teruel,Blesa y Moyuela,Aranort Desarrollos S.L,18.00
Dehesa de Mallén,Zaragoza,Mallén,Eólica del Cierzo S.L,3.47
El Cabezo (Fase 1),Zaragoza,María de Huerva,EO-ZON Generación Eólica. S.L. ,30.43
El Cabezo (Fase 2),Zaragoza,María de Huerva,EO-ZON Generación Eólica. S.L. ,18.97
El Pradillo,Zaragoza,Agón. Borja y Fréscano,Iberjalón. S.A.,22.50
El Saso,Zaragoza,Azuara y Herrera de los Navarros,Eolica El Saso. SL.,17.55
Francisco Borja,Zaragoza,Borja y Fréscano,San Francisco de Borja. SA,23.93
Hilada Honda,Zaragoza,Villar de los Navarros (Zaragoza) y Loscos (Teruel),Repsol Renovables S.L.,20.00
La Muga I,Zaragoza,Gallur y Magallón,Desarrollo Eólico La Muga S.L.,15.00
La Muga II (Fase 1),Zaragoza,Mallén. Gallur y Magallón,Desarrollo Agronómicos Industriales 5. S.L. (Forestalia),45.57
La Muga II (Fase 2),Zaragoza,Mallén. Gallur y Magallón,Desarrollo Agronómicos Industriales 5. S.L. (Forestalia),3.83
La Muga III,Zaragoza,Agón y Magallón,Fuerzas Energéticas del Sur de Europa XXI. S.L.,30.40
Las Azubías,Zaragoza,Rueda de Jalón,Molinos del Ebro. S.A.,46.00
Las Majas VII A,Zaragoza,Herrera de los Navarros y Villar de los Navarros,Repsol Renovables S.L.,49.40
Las Majas VII B,Zaragoza,Fuendetodos. Azuara. Aguilón y Herrera de los Navarros,Repsol Renovables S.L.,49.40
Las Majas VII C,Zaragoza,Aguilón y Herrera de los Navarros,Repsol Renovables S.L.,49.40
Las Majas VII D,Zaragoza,Azuara y Moyuela,Repsol Renovables S.L.,49.40
Las Majas VII E,Zaragoza,Herrera de los Navarros,Repsol Renovables S.L.,19.00
Los Gigantes,Teruel,Blesa y Moyuela,Enel Green Power España,21.30
Monforte I (Fase II),Teruel,Moyuela y Loscos,Fuerzas Energéticas del Sur de Europa VII S.L.,30.40
Monforte II,Teruel,Moyuela y Loscos,Fuerzas Energéticas del Sur de Europa VIII S.L.,22.80
Monlora I (Fase II),Zaragoza,Luna. Sierra de Luna y Castejón de Valdejasa,Generaciones Renovables del Gállego S.L.,34.28
Monlora IV,Zaragoza,Las Pedrosas y Sierra de Luna,Fuerzas Energéticas del Sur de Europa XVI. S.L.,21.60
Monlora V (Fase 2),Zaragoza,Las Pedrosas,Fuerzas Energéticas del Sur de Europa XVII. S.L.,3.75
Picador,Zaragoza,Rueda de Jalón,Molinos del Ebro. S.A.,50.00
Portillo 2 Fase 1,Zaragoza,María de Huerva y La Muela,Alectoris Energía Sostenible 6. S.L,44.80
Portillo 2 Fase 2,Zaragoza,María de Huerva,Alectoris Energía Sostenible 6. S.L,38.00
Puylobo,Zaragoza,Borja y Mallén,Sistemas Energéticos Loma del Viento. S.A.,48.51
Romerales I,Zaragoza,Zaragoza,Repsol Renovables S.L.,49.40
Romerales II,Zaragoza,Zaragoza,Repsol Renovables S.L.,49.40
Sierra de Luna,Zaragoza,Herrera de los Navarros,Parque Eolico Sierra de Luna S.L.,17.55
Sierra de Oriche,Teruel,Allueva y Anadón,Enel Green Power España,13.86
Venta del Ginestar (Fase 1),Zaragoza,Agón. Bisimbre. Fréscano. Magallón y Mallén,Compañía Integral de Energías Renovables de Zaragoza. S.L,25.76
Venta del Ginestar (Fase 2),Zaragoza,Agón. Bisimbre. Fréscano. Magallón y Mallén,Compañía Integral de Energías Renovables de Zaragoza. S.L,22.24
Las Azubías,Zaragoza,Fuendejalón,Molinos del Ebro. S.A.,4.20
Las Herrerías,Zaragoza,Pozuelo de Aragón,EDPR ESPAÑA. SL,16.12
Las Majas VI-B,Zaragoza,Almonacid de la Cuba. Azuara. Fuendetodos,Desarrollo Eólico Las Majas XIX. S.L.,49.40
Las Majas VI-C,Zaragoza,Almonacid de la Cuba. Azuara,Desarrollo Eólico Las Majas XIX. S.L.,49.40
Las Majas VI-D,Zaragoza,Azuara,Desarrollo Eólico Las Majas XIX. S.L.,14.50
Parque Eólico Tico (PARCIAL),Zaragoza,Villar de los Navarros. Azuzra y Moyuela,Parque Eólico Tico S.L,43.25
Virgen de Rodanas I,Zaragoza,Fuendejalón. Pozuelo de Aragón,Desarrollos Eólicos del Sur de Europa. S.L.,49.40
Virgen de Rodanas II,Zaragoza,Fuendejalón. Pozuelo de Aragón,Fuerzas Energéticas del Sur de Europa XV. S.L.,49.40
Cerro de la Punta,Albacete,Higueruela,IBERDROLA ENERGÍAS RENOVABLES DE CLM,24.42
Cerro Vicente,Albacete,Pozocañada y Chinchilla del Monte Aragón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,39.10
Morrablancar,Albacete,Hoya Gonzalo,IBERDROLA ENERGÍAS RENOVABLES DE CLM,13.20
Higueruela,Albacete,Higueruela,IBERDROLA ENERGÍAS RENOVABLES DE CLM,37.62
La Cuerda,Albacete,Petrola y Chinchilla de MonteAragón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,31.02
Malefatón,Albacete,Higueruela,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Muela de Tortosilla,Albacete,Alpera,IBERDROLA ENERGÍAS RENOVABLES DE CLM,36.96
Virgen de Belén II,Albacete,Bonete,IBERDROLA ENERGÍAS RENOVABLES DE CLM,24.42
Virgen de los Llanos I,Albacete,Higueruela y Hoya,IBERDROLA ENERGÍAS RENOVABLES DE CLM,26.40
Virgen de los Llanos II,Albacete,Higueruela,IBERDROLA ENERGÍAS RENOVABLES DE CLM,23.10
Isabela,Albacete,Casas de Lázaro,IBERDROLA ENERGÍAS RENOVABLES DE CLM,48.00
Molar del Molinar,Albacete,Peñas de San Pedro,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Pozocañada,Albacete,Pozocañada,IBERDROLA ENERGÍAS RENOVABLES DE CLM,24.42
Sierra Quemada,Albacete,Pozohondo,IBERDROLA ENERGÍAS RENOVABLES DE CLM,26.25
Virgen de Belén I,Albacete,Bonete,IBERDROLA ENERGÍAS RENOVABLES DE CLM,23.10
Barrax,Albacete,Barrax,GE WIND ENERGY. S.L.,3.60
Campalbo,Cuenca,Graja y Campalbo,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.30
Campisábalos,Guadalajara,Campisabalos,PECAMSA,24.42
Cerro Vicente II,Albacete,Pozocañada y Chinchilla del Monte Aragón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,29.75
Cruz I,Cuenca,San Martín de Boniches,IBERDROLA ENERGÍAS RENOVABLES DE CLM,39.95
Cruz II,Cuenca,San Martín de Boniches,IBERDROLA ENERGÍAS RENOVABLES DE CLM,26.35
Monte Molón,Cuenca,Mira y Aliaguilla,IBERDROLA ENERGÍAS RENOVABLES DE CLM,29.75
Sierra de Mira,Cuenca,Mira y Aliaguilla,IBERDROLA ENERGÍAS RENOVABLES DE CLM,38.25
Sierra de Pinilla,Albacete,Chinchilla de MonteAragón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,22.95
Atalaya de la Solana,Albacete,Peñas de San Pedro,IBERDROLA ENERGÍAS RENOVABLES DE CLM,20.40
Cantalojas,Guadalajara,Cantalojas,PECAMSA,18.00
Sierra de la Oliva,Albacete,Caudete y Almansa,IBERDROLA ENERGÍAS RENOVABLES DE CLM,46.86
Sierra del Romeral,Toledo,Villacañas,IBERDROLA ENERGÍAS RENOVABLES DE CLM,23.80
Sierra del Romeral II,Toledo,Villacañas,IBERDROLA ENERGÍAS RENOVABLES DE CLM,7.65
Alhambra,Ciudad Real,Alhambra. La Solana y Membrilla,ACCIONA ENERGÍA,34.00
Bailones,Ciudad Real,Alhambra y Membrilla,ACCIONA ENERGÍA,42.00
Callejas,Cuenca,Olmedilla,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Capiruza I (1ª Fase),Albacete,Albacete y Peñas de San Pedro,IBERDROLA ENERGÍAS RENOVABLES DE CLM,26.00
Capiruza I Ampliación,Albacete,Albacete y Peñas de San Pedro,IBERDROLA ENERGÍAS RENOVABLES DE CLM,24.00
Capiruza II (2ª Fase),Albacete,Peñas de San Pedro,IBERDROLA ENERGÍAS RENOVABLES DE CLM,42.00
Carcelén,Albacete,Carcelén,ELECDEY CARCELEN,49.60
Cerro Calderón,Cuenca,Paredes y Alcazar del Rey,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Cerro del Palo,Cuenca,Tébar y Atalaya Cañavete,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Cerro Revolcado,Albacete,Caudete,IBERDROLA ENERGÍAS RENOVABLES DE CLM,26.35
Cuesta Colorada,Cuenca,Tébar y Atalaya Cañavete,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
El Gramal,Albacete,El Bonillo,EÓLICA CAMPOLLANO. S.A.,37.40
La Cabaña,Albacete,El Bonillo y El Ballestero,EÓLICA CAMPOLLANO. S.A.,41.65
La Plata,Toledo,Villarubia de Santiago,OLIVENTO. S.L.,21.25
La Sarguilla,Albacete,Villavaliente,Parque eólico La Sargilla. S.A.,1.67
Maza,Cuenca,Olmedilla,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Muela,Albacete,Corralrubio y Chinchilla de Montearagón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,45.54
Muela I,Cuenca,Sisante. Vara del Rey y Atalaya,IBERDROLA ENERGÍAS RENOVABLES DE CLM,49.50
Portachuelo,Albacete,El Bonillo y Lezuza,EÓLICA CAMPOLLANO. S.A.,45.05
Cabezuelo,Guadalajara,Maranchón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,30.00
Cantalojas Ampliación,Guadalajara,Cantalojas,IBERDROLA ENERGÍAS RENOVABLES DE CLM,6.00
Cerro de la Silla,Albacete,Almansa,IBERDROLA ENERGÍAS RENOVABLES DE CLM,15.30
Clares,Guadalajara,Maranchón y Luzón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,32.00
Escalón,Guadalajara,Maranchón y Luzón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,30.00
Hijes,Guadalajara,Hijes,IBERDROLA ENERGÍAS RENOVABLES DE CLM,13.20
La Fuensanta,Albacete,Alcadozo y Peñas de San Pedro,GE WIND ENERGY. S.L.,49.50
Lanternoso,Albacete,Bonillo y Villa Robledo,RWE Innogy Aersa. S.A.U.,24.00
Lomillas,Cuenca,Tébar,TEBAR EÓLICA. S.A.,49.50
Los Pedreros,Albacete,Fuente Alamo,GECAL. S.A.,49.95
Luzón Norte,Guadalajara,Maranchón y Luzón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,38.00
Maranchón I,Guadalajara,Maranchón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,18.00
Maranchón IV,Guadalajara,Maranchón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,48.00
Maranchón Sur,Guadalajara,Maranchón y Luzón,IBERDROLA ENERGÍAS RENOVABLES DE CLM,12.00
Sierra de la Oliva II,Albacete,Almansa y Caudete,GAS NATURAL FENOSA RENOVABLES,30.00
Somolinos,Guadalajara,Somolinos y Hijes,IBERDROLA ENERGÍAS RENOVABLES DE CLM,10.56
Virgen de Belén I Ampliación,Albacete,Bonete,IBERDROLA ENERGÍAS RENOVABLES DE CLM,10.00
Boquerón,Albacete,Villa de Ves y Casas del Ves,ENERGÍAS EÓLICAS DE LA MANCHUELA. S.A.,22.00
Cabeza del Conde,Toledo,Madridejos,Parque Eólico Madridejos. S.L.,8.00
Canredondo I,Guadalajara,Canredondo y Torrecuadradilla,GAS NATURAL FENOSA RENOVABLES,28.00
Chumillas,Cuenca,Olmedilla,ELECDEY,50.00
El Moralejo I,Albacete,Alpera. Higueruela,Iniciativas eólicas de Alpera. S.L.,6.00
El Moralejo II,Albacete,Alpera. Higueruela,Iniciativas Eólicas de Alpera. S.L.,12.00
La Losilla,Albacete,Chinchilla de Montearagón,GAS NATURAL FENOSA RENOVABLES,11.90
Las Hoyuelas,Albacete,Pinilla,ACCIONA ENERGÍA,34.00
Pico Collalbas,Cuenca,Villar del Humo y Henarejos,IBERENOVA PROMOCIONES. S.A.,30.00
Sierra Menera I,Guadalajara,Setiles y Tordesilos,IBERDROLA ENERGÍAS RENOVABLES DE CLM,40.00
Breña,Albacete,Pinilla,ACCIONA ENERGÍA,36.00
Caldereros,Guadalajara,Hombrados y Pobo de Dueñas,Energías Especiales Montes Castellanos. S.L.,37.80
Carrascosa,Cuenca,Campos del Paraíso,ENERGÍAS EÓLICAS DE CUENCA,38.00
Casa del Aire I,Albacete,Bonillo,EACLM,49.98
Casa del Aire II,Albacete,El Bonillo,EACLM,49.98
Cerro Blanco,Albacete,Pinilla,ACCIONA ENERGÍA,48.00
Cerro de la Oliva,Toledo,Almonacid y Nambroca,Parque Eólico Cerro de la Oliva. S.L.,10.00
Cerro Moreno,Toledo,Villa de Don Fabrique,Molinos del Cerro Moreno. S.L.,6.00
Dehesa Virginia,Albacete,Alatoz y Alpera,ACCIONA ENERGÍA,30.00
Dos pueblos,Guadalajara,Miedes de Atienza y Bañuelos,IBERDROLA ENERGÍAS RENOVABLES DE CLM,20.00
El Escepar,Cuenca,Villalba del Rey,S.E. Villalba,36.00
El Moral,Ciudad Real,Moral de Calatrava,Parque eólico El Moral. S.L.,40.00
El Peralejo,Cuenca,Villalba del Rey y Tinajas,S.E. Tinajas-Castejón,20.00
Fuente de la Arena,Albacete,Alpera,ACCIONA ENERGÍA,30.00
Hoya Gonzalo,Albacete,Hoya Gonzalo,EVOLUCIÓN 2000,49.50
La Dehesica,Albacete,La Roda,EÓLICA DULCINEA. S.L.,28.50
La Esperanza,Guadalajara,Cantalojas,ACCIONA ENERGÍA,30.00
La Navica,Albacete,La Roda,EÓLICA LA NAVICA. S.L.,30.00
La Plata Ampliación,Toledo,Villarubia de Santiago,GAMESA ENERGÍA,6.80
Majales,Albacete,Masegoso,ACCIONA ENERGÍA,49.50
Malagón I,Ciudad Real,Fuente del Fresno y Los Cortijos,GAS NATURAL FENOSA RENOVABLES,36.00
Malagón II,Ciudad Real,Fuente del Fresno y Los Cortijos,GAS NATURAL FENOSA RENOVABLES,50.00
Muela Cubillo,Cuenca,Alcalá de la Vega. Algarra y Fuentelespino de Moya,ENERGÍAS EÓLICAS DE CUENCA,50.00
Munera I,Albacete,Munera,EÓLICA DON QUIJOTE. S.L.,39.60
Munera II,Albacete,Munera,RENOVABLES CASTILLA LA MANCHA. S.A.,30.60
Torviscal,Albacete,Masegoso,ACCIONA ENERGÍA,24.00
Abuela Santa Ana,Albacete,Pozo Llorente,AL ANDALUS WIND POWER,37.50
Cabeza Morena Dueñas,Albacete,El Bonillo,ACCIONA ENERGÍA,50.00
El Romeral,Albacete,Chinchilla de Montearagón,Eólica Montesinos S.L.,14.45
Guijo I,Guadalajara,Anquela del Ducado. Selas y Mazarete,Luria de Energías. S.A.,38.00
Guijo II,Guadalajara,Anquela del Ducado. Selas y Mazarete,Luria de Energías. S.A.,26.00
Loma Viso,Albacete,Albacete,Alstom-Ecotècnia,2.00
Majogazas,Albacete,Peñascosa y Masegoso,Explotaciones Eólicas Sierra de Alcaraz. S.L.,28.50
Sabina,Albacete,Pozohondo. Hellín y Liétor,IBERDROLA ENERGÍAS RENOVABLES DE CLM,48.00
Abuela Santa Ana Modificación,Albacete,Pozo Llorente,AL ANDALUS WIND POWER,12.00
El Peralejo Ampliación,Cuenca,Villalba del Rey y Tinajas,ACCIONA ENERGÍA,6.00
El Relumbrar,Albacete,Alpera,ACCIONA ENERGÍA,40.00
Lezuza,Albacete,Lezuza,ELECDEY,30.00
Loma Gorda,Guadalajara,Tartanedo,GAS NATURAL FENOSA RENOVABLES,50.00
Loma Viso II Experimental,Albacete,Albacete,Ecotècnia,3.00
Mingorrubio I,Albacete,Lezuza,VIESGO Renovables,25.00
Peña I,Guadalajara,Tartanedo,GAS NATURAL FENOSA RENOVABLES,16.00
Peña II,Guadalajara,Tartanedo y Fuente Elsaz,Energías Especiales Montes Castellanos. S.L.,18.00
